filename,row_index_in_image,nickname,job,server,score,note,combat_power
KakaoTalk_20260422_220955241.png,1,새틱,비숍,,3165만 723,닉네임/점수 일부 가림 | server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241.png,3,살다이,신궁,,2299만 8528,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241_02.png,2,악한고등어,보우마스터,,1923만 6414,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241_02.png,3,쑥곡,다크나이트,,1902만 9486,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241_03.png,1,살보시,비숍,,1768만 6365,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241_04.png,1,별국,새도어,,1578만 6600,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241_06.png,2,가송혁,히어로,,1303만 368,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241_07.png,3,앨베,히어로,,1169만 7450,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241_09.png,3,핫민밤삼,비숍,,1120만 5813,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241_10.png,1,키노농,섀도어,,1109만 1117,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241_11.png,1,케첩3,히어로,,1070만 9724,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955241_14.png,1,심전,섀도어,,1015만 2159,server not visible | 전투력 미확인,
KakaoTalk_20260422_220955639_01.png,3,성착의,히어로,,"5,909,118",전투력 미확인,
KakaoTalk_20260422_221320048.png,2,대벵어조아,섀도어,,"5,750,535",전투력 미확인,
KakaoTalk_20260422_221320048.png,3,냥만듀,아크메이지 - 썬콜,,"5,696,994",전투력 미확인,
KakaoTalk_20260422_221320048_01.png,1,아모르파티뤠,아크메이지 - 썬콜,,"5,689,698",닉네임 마지막 글자 약간 불확실 | 전투력 미확인,
KakaoTalk_20260422_221320048_02.png,1,김창구,섀도어,,"5,543,583",전투력 미확인,
KakaoTalk_20260422_221320048_02.png,2,봄넝,신궁,,"5,415,384",전투력 미확인,
KakaoTalk_20260422_221320048_03.png,1,악할뻔,섀도어,,"5,310,135",전투력 미확인,
KakaoTalk_20260422_221320048_03.png,2,킵술하,비숍,,"5,212,785",전투력 미확인,
KakaoTalk_20260422_221320048_03.png,3,참밥,비숍,,"5,119,524",전투력 미확인,
KakaoTalk_20260422_221320048_05.png,2,26짱바,아크메이지 - 썬콜,,"4,905,072",전투력 미확인,
KakaoTalk_20260422_221320048_05.png,3,악해i뜨졌,아크메이지 - 불독,,"4,901,022",닉네임 판독 불확실 | 전투력 미확인,
KakaoTalk_20260422_221320048_07.png,2,노독,다크나이트,,"4,730,649",닉네임 판독 약간 불확실 | 전투력 미확인,
KakaoTalk_20260422_221320048_08.png,1,버닉,섀도어,,"4,688,013",전투력 미확인,
KakaoTalk_20260422_221320048_08.png,3,용레니,히어로,,"4,629,183",전투력 미확인,
KakaoTalk_20260422_221320048_10.png,2,브지,보우마스터,,"4,562,988",전투력 미확인,
KakaoTalk_20260422_221320048_10.png,3,봉할가,다크나이트,,"4,477,458",전투력 미확인,
KakaoTalk_20260422_221320048_11.png,3,김치새대기,히어로,,"4,301,910",전투력 미확인,
KakaoTalk_20260422_221320048_13.png,1,하타치,아크메이지 - 썬콜,,"4,178,079",전투력 미확인,
KakaoTalk_20260422_221320048_14.png,1,찰스제,아크메이지 - 불독,,"4,131,168",전투력 미확인,
KakaoTalk_20260422_221320048_14.png,2,안재동,아크메이지 - 썬콜,,"4,120,161",전투력 미확인,
KakaoTalk_20260422_221320048_14.png,3,의주몽,신궁,,"4,084,992",전투력 미확인,
KakaoTalk_20260422_221320048_15.png,3,초꼬님,섀도어,,"4,022,838",전투력 미확인,
KakaoTalk_20260422_221320048_16.png,1,메기무라딘,팔라딘,,"3,980,766",전투력 미확인,
KakaoTalk_20260422_221320048_16.png,2,울힘,아크메이지 - 썬콜,,"3,968,067",전투력 미확인,
KakaoTalk_20260422_221320048_18.png,2,럿해,섀도어,,"3,522,024",전투력 미확인,
KakaoTalk_20260422_221320048_19.png,3,26조,아크메이지 - 썬콜,,"3,478,593",전투력 미확인,
KakaoTalk_20260422_221320048_20.png,3,1조탈락있었던,신궁,,"3,339,549",전투력 미확인,
KakaoTalk_20260422_221320048_21.png,3,금스파,아크메이지 - 썬콜,,"3,220,926",전투력 미확인,
KakaoTalk_20260422_221320048_22.png,2,개도독놈,다크나이트,,"3,091,866",전투력 미확인,
KakaoTalk_20260422_221320048_24.png,3,대수징,섀도어,,"2,991,735",전투력 미확인,
KakaoTalk_20260422_221320048_25.png,1,고영희맘몸미,히어로,,"2,986,197",닉네임 약간 불확실 | 전투력 미확인,
KakaoTalk_20260422_221320048_25.png,2,봄봄월드,섀도어,,"2,981,634",전투력 미확인,
KakaoTalk_20260422_221320048_25.png,3,라영제로,아크메이지 - 썬콜,,"2,941,830",전투력 미확인,
KakaoTalk_20260422_221320048_26.png,2,샤포리,섀도어,,"2,540,343",전투력 미확인,
KakaoTalk_20260422_221320048_26.png,3,양가오너,히어로,,"2,413,101",전투력 미확인,
스크린샷 2026-04-23 101622.png,3,포르셰718,섀도어,다다익선,"7,922,550",전투력 미확인,
스크린샷 2026-04-23 101637.png,1,통띠,아크메이지 - 썬콜,밀크런,"6,321,654",전투력 미확인,
스크린샷 2026-04-23 101710.png,2,단비토기,섀도어,초코나라,"3,884,145",전투력 미확인,
스크린샷 2026-04-23 101726.png,3,가나디도룩,아크메이지 - 썬콜,비련,"3,564,012",첫 글자 가/카 애매 | 전투력 미확인,
스크린샷 2026-04-23 101737.png,2,포스쿤퓨쳐엠,섀도어,빅딜,"3,436,767",닉네임 판독 다소 불확실 | 전투력 미확인,
스크린샷 2026-04-23 101737.png,3,zI지존썬콜lz,아크메이지 - 썬콜,초코나라,"3,430,389",영문 대소문자와 I/l 구분 불확실 | 전투력 미확인,
스크린샷 2026-04-23 101752.png,2,투툼,섀도어,초코나라,"3,088,398",전투력 미확인,
스크린샷 2026-04-23 101802.png,2,뒹클,아크메이지 - 썬콜,다다익선,"2,949,402",전투력 미확인,
스크린샷 2026-04-23 101802.png,3,강철고튼데,나이트로드,빅딜,"2,940,453",닉네임 중간 글자 불확실 | 전투력 미확인,
스크린샷 2026-04-23 101808.png,1,주니이용,아크메이지 - 썬콜,다다익선,"2,928,321",전투력 미확인,
스크린샷 2026-04-23 101814.png,2,봉실망실토실,아크메이지 - 불독,다다익선,"2,776,104",전투력 미확인,
스크린샷 2026-04-23 101825.png,2,응자쓰,섀도어,다다익선,"2,649,729",전투력 미확인,
스크린샷 2026-04-23 101825.png,3,린상판,히어로,초코나라,"2,631,945",전투력 미확인,
스크린샷 2026-04-23 101842.png,1,섭계피앙빼,아크메이지 - 썬콜,초코나라,"2,544,408",닉네임 앞부분 다소 불확실 | 전투력 미확인,
스크린샷 2026-04-23 101849.png,1,사생니임,아크메이지 - 불독,다다익선,"2,480,916",전투력 미확인,
스크린샷 2026-04-23 101912.png,3,꽁물,비숍,털미녀,"2,268,759",전투력 미확인,
스크린샷 2026-04-23 102000.png,2,딸룰아범,비숍,블랙소울,"1,996,512",전투력 미확인,
스크린샷 2026-04-23 102005.png,2,야로아옹,팔라딘,털미녀,"1,945,101",전투력 미확인,
스크린샷 2026-04-23 102005.png,3,용마미,신궁,블랙소울,"1,934,556",전투력 미확인,
스크린샷 2026-04-23 102010.png,1,김꽈아,섀도어,초코나라,"1,920,561",전투력 미확인,
스크린샷 2026-04-23 102031.png,2,루멩이,나이트로드,블랙소울,"1,811,361",전투력 미확인,
